sale_id,order_id,date_id,product_id,region_id,customer_id,channel_id,quantidade,preco_unitario,valor_bruto,valor_desconto,valor_devolucao,valor_liquido,custo_total,lucro,cenario_analitico
1,PED-100000,20230101,14,1,136,2,14,7.94,111.16,06.02,01.08,104.06,42.02,62.03,Normal
2,PED-100001,20230101,5,3,45,3,1,1931.33,1931.33,141.28,32.03,1758.02,1278.07,479.96,Normal
3,PED-100002,20230101,5,1,96,1,1,1699.5,1699.5,132.24,3.63,1563.63,1258.91,304.72,Normal
4,PED-100003,20230101,5,1,34,1,3,1818.75,5456.24,281.91,133.21,5041.12,3859.7,1181.43,Normal
5,PED-100004,20230101,5,3,15,2,1,1835.27,1835.27,108.85,29.54,1696.87,1304.66,392.21,Normal
6,PED-100005,20230101,5,8,105,2,2,1770.88,3541.77,190.76,41.7,3309.31,2593.07,716.24,Normal
7,PED-100006,20230101,10,9,83,1,3,349.3,1047.89,69.9,13.86,964.13,590.38,373.76,Normal
8,PED-100007,20230101,9,3,133,2,2,419.56,839.12,11.58,1.96,825.59,477.52,348.06,Normal
9,PED-100008,20230101,5,8,122,2,2,1861.93,3723.85,65.89,91.14,3566.82,2503.54,1063.28,Normal
10,PED-100009,20230101,1,3,44,2,3,4170.43,12511.28,524.55,149.23,11837.5,9039.82,2797.68,Normal
11,PED-100010,20230101,15,9,99,1,4,775.18,3100.73,168.11,34.51,2898.11,2204.89,693.22,Normal
12,PED-100011,20230101,3,7,155,2,2,918.67,1837.34,47.6,47.76,1741.98,1235.05,506.94,Normal
13,PED-100012,20230101,5,6,41,2,1,1808.13,1808.13,107.38,7.4,1693.34,1287.35,405.99,Normal
14,PED-100013,20230101,9,7,56,1,5,425.22,2126.1,207.52,27.59,1890.99,1216.43,674.56,Normal
15,PED-100014,20230101,9,4,150,3,1,452.09,452.09,43.72,0.14,408.22,242.46,165.76,Normal
16,PED-100015,20230101,5,10,49,2,1,1845.85,1845.85,32.21,38.51,1775.13,1291.19,483.94,Normal
17,PED-100016,20230101,7,6,131,2,2,1363.02,2726.05,134.53,9.15,2582.37,1990.7,591.67,Normal
18,PED-100017,20230101,2,3,93,1,3,5274.03,15822.08,1042.45,144.92,14634.71,10936.23,3698.48,Normal
19,PED-100018,20230101,7,7,5,1,2,1363.63,2727.27,259.7,32.48,2435.08,1958.63,476.46,Normal
20,PED-100019,20230101,5,9,99,3,3,1717.21,5151.62,266.0,116.87,4768.75,3808.39,960.35,Normal
21,PED-100020,20230102,13,8,97,2,4,26.48,105.91,3.17,2.3,100.44,49.12,51.32,Normal
22,PED-100021,20230102,13,5,58,3,11,28.8,316.81,26.31,8.37,282.13,134.56,147.57,Normal
23,PED-100022,20230102,2,9,99,1,2,5325.05,10650.11,727.19,57.61,9865.31,7399.2,2466.11,Normal
24,PED-100023,20230102,12,5,2,2,4,1007.63,4030.53,70.86,105.91,3853.77,2539.77,1314.0,Normal
25,PED-100024,20230102,6,8,107,2,2,2654.15,5308.29,118.68,56.67,5132.95,3585.53,1547.42,Normal
26,PED-100025,20230102,5,6,12,3,3,1882.1,5646.3,451.28,34.93,5160.09,3885.78,1274.32,Normal
27,PED-100026,20230102,7,8,50,3,1,1345.31,1345.31,104.17,36.15,1205.0,986.31,218.69,Normal
28,PED-100027,20230102,5,9,99,2,2,1683.09,3366.19,181.64,24.58,3159.97,2553.87,606.1,Normal
29,PED-100028,20230102,13,10,76,3,16,27.33,437.21,38.75,10.35,388.1,198.1,190.0,Normal
30,PED-100029,20230102,4,1,116,2,3,1343.9,4031.69,99.57,28.68,3903.44,2874.32,1029.13,Normal
31,PED-100030,20230102,5,8,137,1,2,1927.86,3855.72,278.64,99.84,3477.24,2593.96,883.28,Normal
32,PED-100031,20230102,5,9,9,3,3,1776.5,5329.49,384.58,45.68,4899.23,3725.12,1174.11,Normal
33,PED-100032,20230102,6,8,137,2,3,2668.19,8004.56,184.04,212.78,7607.74,5644.23,1963.51,Normal
34,PED-100033,20230102,16,8,29,2,1,443.36,443.36,18.06,7.73,417.58,250.79,166.78,Normal
35,PED-100034,20230102,9,5,102,2,1,452.04,452.04,23.35,4.11,424.57,252.86,171.72,Normal
36,PED-100035,20230102,10,4,51,2,2,366.68,733.36,29.28,9.11,694.97,406.69,288.28,Normal
37,PED-100036,20230102,6,7,105,1,3,2606.68,7820.05,463.63,83.94,7272.48,5545.32,1727.15,Normal
38,PED-100037,20230102,5,9,128,2,2,1783.44,3566.88,83.67,21.25,3461.95,2588.05,873.9,Normal
39,PED-100038,20230102,6,1,69,2,1,2581.29,2581.29,54.16,0.02,2527.11,1883.52,643.6,Normal
40,PED-100039,20230102,6,9,118,1,3,2788.82,8366.46,373.92,65.49,7927.05,5668.45,2258.6,Normal
41,PED-100040,20230102,12,3,44,2,1,1020.89,1020.89,32.97,0.61,987.3,617.01,370.3,Normal
42,PED-100041,20230102,5,10,24,2,2,1683.91,3367.82,113.63,33.98,3220.22,2608.79,611.43,Normal
43,PED-100042,20230102,11,4,91,2,3,617.54,1852.61,105.17,41.76,1705.67,1253.1,452.57,Normal
44,PED-100043,20230102,1,6,3,2,1,3976.52,3976.52,160.95,67.81,3747.76,3107.22,640.54,Normal
45,PED-100044,20230102,12,4,13,1,2,958.55,1917.1,83.31,17.8,1815.98,1302.69,513.3,Normal
46,PED-100045,20230103,14,2,151,2,10,8.21,82.12,2.12,1.53,78.47,30.19,48.28,Normal
47,PED-100046,20230103,4,10,32,1,3,1428.47,4285.42,225.25,99.88,3960.29,2728.33,1231.95,Normal
48,PED-100047,20230103,3,8,122,3,3,925.06,2775.17,217.47,49.62,2508.08,1757.85,750.23,Normal
