ID_Venda;Data_Compra;Ano;Mes;Evento;Cidade;Estado;Regiao;Categoria_Evento;Publico_Alvo;Canal_Aquisicao;Tipo_Ingresso;Forma_Pagamento;Status_Venda;Genero_Cliente;Idade_Cliente;Preco_Ingresso_BRL;Quantidade;Valor_Bruto_BRL;Desconto_BRL;Receita_Liquida_BRL;Custo_Evento_BRL;Curtidas_Campanha;Compartilhamentos_Campanha;Novos_Seguidores;Satisfacao;Sentimento_Publico
1;2026-01-01;2026;1;Feira Geek Local;São Paulo;SP;Sudeste;E-sports;Família;Instagram;VIP;Pix;Cancelado;Feminino;50;179,45;3;538,35;0,00;0,00;76,12;672;171;67;5;Muito positivo
2;2025-01-03;2025;1;Campus Party;Recife;PE;Nordeste;E-sports;Jovem adulto;Instagram;Pista;Pix;Confirmado;Não informado;50;62,48;2;124,95;0,00;124,95;56,30;338;30;32;1;Negativo
3;2025-11-29;2025;11;Brasil Game Show;Manaus;AM;Norte;Games;Adolescente;YouTube;Pista;Cartão Crédito;Check-in realizado;Feminino;29;153,18;1;153,18;0,00;153,18;103,92;404;70;21;1;Negativo
4;2025-09-17;2025;9;Lançamento Indie;Indaiatuba;SP;Sudeste;K-pop;Jovem adulto;Instagram;Online;Pix;Confirmado;Masculino;41;38,05;1;38,05;0,00;38,05;26,82;252;34;11;1;Negativo
5;2025-07-29;2025;7;Lançamento Indie;Belo Horizonte;MG;Sudeste;Tecnologia;Adolescente;Indicação;VIP;Pix;Reembolsado;Não informado;17;317,62;4;1270,48;0,00;0,00;169,10;28;4;1;2;Negativo
6;2025-04-12;2025;4;Feira Geek Local;Salvador;BA;Nordeste;Quadrinhos;Adolescente;YouTube;Pista;Carteira Digital;Confirmado;Feminino;32;56,18;1;56,18;5,62;50,56;37,99;1452;401;115;9;Muito positivo
7;2025-05-02;2025;5;Lançamento Indie;Goiânia;GO;Centro-Oeste;Cosplay;Jovem adulto;YouTube;Pista;Pix;Confirmado;Masculino;19;118,98;1;118,98;0,00;118,98;85,42;971;266;73;7;Neutro
8;2025-08-28;2025;8;Feira Geek Local;Campinas;SP;Sudeste;E-sports;Adulto;Instagram;Meet & Greet;Pix;Confirmado;Masculino;37;876,67;1;876,67;0,00;876,67;580,88;1500;330;122;9;Muito positivo
9;2025-03-27;2025;3;Encontro Cosplay;Campinas;SP;Sudeste;Tecnologia;Jovem adulto;Google;Camarote;Pix;Confirmado;Masculino;45;561,56;1;561,56;0,00;561,56;287,45;451;42;22;10;Muito positivo
10;2025-02-16;2025;2;Anime Friends;Belém;PA;Norte;K-pop;Jovem adulto;YouTube;Pista;Cartão Débito;Confirmado;Masculino;53;129,37;1;129,37;0,00;129,37;55,34;551;35;37;6;Positivo
11;2026-03-03;2026;3;CCXP;São Paulo;SP;Sudeste;Games;Jovem adulto;YouTube;VIP;Carteira Digital;Check-in realizado;Não informado;42;433,59;3;1300,78;130,08;1170,70;765,47;209;23;20;6;Neutro
12;2025-04-20;2025;4;Brasil Game Show;Recife;PE;Nordeste;Games;Creator/Influencer;Instagram;Pista;Cartão Crédito;Check-in realizado;Masculino;38;124,26;2;248,52;12,43;236,09;156,91;417;92;34;3;Negativo
13;2025-07-10;2025;7;Campus Party;Manaus;AM;Norte;Quadrinhos;Família;Instagram;Pista;Carteira Digital;Confirmado;Masculino;18;92,38;4;369,51;0,00;369,51;187,51;306;52;22;8;Muito positivo
14;2026-03-02;2026;3;Feira Geek Local;Curitiba;PR;Sul;Games;Jovem adulto;YouTube;Pista;Cartão Crédito;Reembolsado;Feminino;28;48,13;2;96,25;9,62;0,00;21,65;230;18;19;4;Negativo
15;2025-04-17;2025;4;Torneio E-sports;Goiânia;GO;Centro-Oeste;Games;Jovem adulto;Instagram;Pista;Pix;Confirmado;Não informado;51;100,93;1;100,93;0,00;100,93;59,99;875;137;27;1;Negativo
16;2025-10-27;2025;10;Brasil Game Show;Campinas;SP;Sudeste;E-sports;Jovem adulto;Indicação;Pista;Cartão Débito;Confirmado;Masculino;39;187,20;1;187,20;9,36;177,84;83,24;154;34;16;9;Muito positivo
17;2025-03-15;2025;3;Torneio E-sports;Campinas;SP;Sudeste;Anime;Jovem adulto;Email Marketing;Camarote;Cartão Débito;Confirmado;Feminino;17;654,69;1;654,69;0,00;654,69;413,97;63;11;2;7;Neutro
18;2026-05-06;2026;5;Feira Geek Local;Porto Alegre;RS;Sul;K-pop;Família;Indicação;Camarote;Cartão Crédito;Confirmado;Feminino;20;390,94;1;390,94;0,00;390,94;221,39;159;28;15;10;Muito positivo
19;2025-04-18;2025;4;CCXP;São Paulo;SP;Sudeste;Cosplay;Família;Twitch;Pista;Pix;Check-in realizado;Feminino;28;166,34;2;332,69;16,63;316,06;185,23;231;31;16;5;Positivo
20;2026-05-04;2026;5;Feira Geek Local;Campinas;SP;Sudeste;Anime;Adulto;Indicação;Camarote;Cartão Débito;Confirmado;Feminino;41;606,07;1;606,07;0,00;606,07;356,11;191;21;8;9;Muito positivo
21;2025-04-22;2025;4;Torneio E-sports;Curitiba;PR;Sul;Cosplay;Família;YouTube;VIP;Pix;Confirmado;Não informado;37;418,86;2;837,71;0,00;837,71;522,49;630;71;66;8;Neutro
22;2025-09-23;2025;9;Encontro Cosplay;Belo Horizonte;MG;Sudeste;Tecnologia;Jovem adulto;Email Marketing;Pista;Pix;Confirmado;Masculino;28;135,35;1;135,35;27,07;108,28;55,44;107;12;3;10;Positivo
23;2025-02-24;2025;2;Campus Party;São Paulo;SP;Sudeste;E-sports;Adolescente;YouTube;Meet & Greet;Pix;Confirmado;Feminino;25;740,95;1;740,95;37,05;703,90;504,41;318;70;42;6;Positivo
24;2026-01-19;2026;1;Torneio E-sports;Belém;PA;Norte;E-sports;Adulto;YouTube;Pista;Pix;Confirmado;Masculino;19;92,21;1;92,21;18,44;73,77;56,78;396;68;23;4;Negativo
25;2025-04-28;2025;4;CCXP;Florianópolis;SC;Sul;Cosplay;Família;Indicação;Pista;Carteira Digital;Confirmado;Masculino;48;165,51;2;331,02;16,55;314,47;189,45;237;52;19;9;Positivo
26;2025-07-28;2025;7;Torneio E-sports;Belo Horizonte;MG;Sudeste;E-sports;Jovem adulto;TikTok;Pista;Cartão Crédito;Check-in realizado;Masculino;38;112,15;1;112,15;5,61;106,54;51,76;1034;268;126;3;Negativo
27;2026-02-20;2026;2;Festival K-pop;Belém;PA;Norte;Anime;Adolescente;YouTube;Pista;Pix;Confirmado;Masculino;24;134,65;1;134,65;40,40;94,25;62,35;2252;460;129;6;Neutro
28;2026-01-13;2026;1;Feira Geek Local;Goiânia;GO;Centro-Oeste;Cosplay;Adulto;TikTok;Online;Cartão Crédito;Check-in realizado;Não informado;48;77,26;1;77,26;3,86;73,40;29,87;1412;258;91;10;Muito positivo
29;2025-04-20;2025;4;Encontro Cosplay;Belém;PA;Norte;K-pop;Família;Google;Pista;Cartão Crédito;Check-in realizado;Não informado;23;106,87;2;213,74;21,37;192,37;146,44;143;36;17;5;Positivo
30;2025-04-15;2025;4;Anime Friends;Manaus;AM;Norte;K-pop;Adulto;Google;Meet & Greet;Cartão Crédito;Confirmado;Feminino;19;523,50;1;523,50;0,00;523,50;205,82;116;28;7;8;Positivo
31;2025-11-21;2025;11;Anime Friends;Florianópolis;SC;Sul;Anime;Creator/Influencer;Instagram;Meet & Greet;Pix;Confirmado;Masculino;41;485,69;3;1457,08;0,00;1457,08;515,79;917;49;42;6;Neutro
32;2025-11-17;2025;11;Torneio E-sports;Goiânia;GO;Centro-Oeste;Cosplay;Família;Google;Pista;Cartão Crédito;Check-in realizado;Masculino;49;106,30;1;106,30;0,00;106,30;34,49;259;12;20;8;Muito positivo
33;2025-05-11;2025;5;Maratona Streamer;Fortaleza;CE;Nordeste;E-sports;Jovem adulto;TikTok;Meet & Greet;Boleto;Confirmado;Masculino;29;429,70;1;429,70;85,94;343,76;145,68;413;113;39;9;Muito positivo
34;2025-09-09;2025;9;Anime Friends;Goiânia;GO;Centro-Oeste;Games;Jovem adulto;Indicação;Online;Pix;Check-in realizado;Feminino;52;74,87;1;74,87;3,74;71,13;45,58;65;12;3;5;Positivo
35;2025-12-11;2025;12;Torneio E-sports;Goiânia;GO;Centro-Oeste;Anime;Jovem adulto;Instagram;Meet & Greet;Cartão Crédito;Confirmado;Não informado;43;833,24;1;833,24;124,99;708,25;546,27;2215;93;131;9;Positivo
36;2025-09-28;2025;9;Anime Friends;Belém;PA;Norte;Cosplay;Jovem adulto;Email Marketing;Pista;Cartão Crédito;Confirmado;Feminino;21;80,75;2;161,49;8,07;153,42;56,24;77;18;8;4;Negativo
37;2026-01-19;2026;1;CCXP;São Paulo;SP;Sudeste;Cultura Geek;Família;YouTube;VIP;Boleto;Check-in realizado;Masculino;28;327,42;3;982,27;49,11;933,16;548,05;474;38;37;7;Positivo
38;2025-08-21;2025;8;Encontro Cosplay;Manaus;AM;Norte;E-sports;Família;YouTube;Pista;Boleto;Confirmado;Masculino;44;125,50;2;251,00;50,20;200,80;156,50;234;11;15;5;Positivo
39;2025-01-17;2025;1;Brasil Game Show;Fortaleza;CE;Nordeste;Games;Jovem adulto;YouTube;Pista;Pix;Confirmado;Feminino;49;77,03;1;77,03;0,00;77,03;36,29;1620;82;112;10;Muito positivo
40;2025-05-09;2025;5;Torneio E-sports;Florianópolis;SC;Sul;K-pop;Jovem adulto;Instagram;VIP;Cartão Crédito;Check-in realizado;Feminino;46;210,47;1;210,47;0,00;210,47;103,71;3224;445;169;10;Positivo
41;2025-07-26;2025;7;Brasil Game Show;Recife;PE;Nordeste;Cosplay;Adolescente;TikTok;Camarote;Cartão Crédito;Check-in realizado;Masculino;36;810,48;1;810,48;40,52;769,96;578,53;2582;662;261;7;Positivo
42;2025-06-05;2025;6;Brasil Game Show;São Paulo;SP;Sudeste;E-sports;Adolescente;TikTok;Meet & Greet;Cartão Crédito;Confirmado;Masculino;45;563,27;2;1126,55;56,33;1070,22;375,71;1156;267;83;9;Muito positivo
43;2026-05-02;2026;5;Feira Geek Local;Florianópolis;SC;Sul;E-sports;Adolescente;TikTok;Pista;Pix;Check-in realizado;Feminino;41;74,95;4;299,80;14,99;284,81;188,88;932;213;62;4;Negativo
44;2025-04-01;2025;4;Feira Geek Local;Brasília;DF;Centro-Oeste;Quadrinhos;Adulto;TikTok;Camarote;Pix;Check-in realizado;Feminino;23;321,71;2;643,42;32,17;611,25;236,23;1460;387;125;9;Muito positivo
45;2026-05-02;2026;5;Festival K-pop;Florianópolis;SC;Sul;Quadrinhos;Jovem adulto;YouTube;Pista;Pix;Reembolsado;Masculino;32;74,90;2;149,79;0,00;0,00;41,07;712;100;48;1;Negativo
46;2025-08-02;2025;8;Encontro Cosplay;São Paulo;SP;Sudeste;Games;Adulto;TikTok;Pista;Carteira Digital;Confirmado;Feminino;51;59,97;2;119,94;6,00;113,94;72,88;933;39;33;7;Neutro
47;2025-07-17;2025;7;Anime Friends;Belo Horizonte;MG;Sudeste;Cultura Geek;Adulto;YouTube;VIP;Carteira Digital;Check-in realizado;Masculino;37;309,19;2;618,38;0,00;618,38;409,21;68;7;3;9;Positivo
48;2025-10-11;2025;10;Campus Party;Belém;PA;Norte;Anime;Adolescente;Twitch;VIP;Pix;Confirmado;Masculino;39;397,33;2;794,65;0,00;794,65;343,76;169;45;12;9;Positivo
49;2025-05-25;2025;5;Torneio E-sports;Goiânia;GO;Centro-Oeste;Cosplay;Adulto;TikTok;Pista;Pix;Confirmado;Masculino;36;100,29;2;200,57;10,03;190,54;96,22;1011;144;85;5;Positivo
